"fileName","cleanTitle","url","date","size","genre","rating"
"God of War (USA).zip","God of War","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/God%20of%20War%20%28USA%29.zip","28-Mar-2022 12:08","7.0 GiB","Action",9.4
"God of War II (USA).zip","God of War II","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/God%20of%20War%20II%20%28USA%29.zip","28-Mar-2022 11:07","6.7 GiB","Action",9.5
"Gradius V (USA).zip","Gradius V","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Gradius%20V%20%28USA%29.zip","29-Mar-2022 11:38","367.8 MiB","Action",8.7
"Gran Turismo 3 - A-Spec (USA) (v1.00).zip","Gran Turismo 3 - A-Spec","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Gran%20Turismo%203%20-%20A-Spec%20%28USA%29%20%28v1.00%29.zip","30-Mar-2022 08:58","3.3 GiB","Racing",9.5
"Gran Turismo 4 (USA) (v1.01).zip","Gran Turismo 4","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Gran%20Turismo%204%20%28USA%29%20%28v1.01%29.zip","25-Apr-2022 19:53","4.4 GiB","Racing",9.3
"Grand Theft Auto - San Andreas (USA) (v1.03).zip","Grand Theft Auto - San Andreas","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Grand%20Theft%20Auto%20-%20San%20Andreas%20%28USA%29%20%28v1.03%29.zip","29-Mar-2022 09:51","2.9 GiB","Racing",9.5
"Grand Theft Auto - Vice City (USA) (v1.40).zip","Grand Theft Auto - Vice City","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Grand%20Theft%20Auto%20-%20Vice%20City%20%28USA%29%20%28v1.40%29.zip","28-Mar-2022 20:25","2.6 GiB","Racing",9.3
"Grand Theft Auto III (USA).zip","Grand Theft Auto III","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Grand%20Theft%20Auto%20III%20%28USA%29.zip","29-Mar-2022 09:38","1.3 GiB","Racing",9.0
"Grandia II (USA).zip","Grandia II","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Grandia%20II%20%28USA%29.zip","28-Mar-2022 17:37","993.9 MiB","RPG",8.6
"Grandia III (USA) (Disc 1).zip","Grandia III","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Grandia%20III%20%28USA%29%20%28Disc%201%29.zip","29-Mar-2022 04:59","3.8 GiB","RPG",8.2
